player, pos, gs, dip, fpct
김성현,유격수,132,1143 2/3,0.954
정은원,2루수,137,1192 2/3,0.982
박해민,중견수,129,1147,0.995
이재원,포수,121,1041,0.994
박세혁,포수,128,1071 2/3,0.991
최정,3루수,133,1153,0.956
전준우,좌익수,133,1148,0.984
오지환,유격수,131,1101,0.981
허경민,3루수,124,1080,0.972
최재훈,포수,126,1022 2/3,0.993
로맥,1루수,127,1113 1/3,0.997
김재호,유격수,116,993 1/3,0.980
손아섭,우익수,125,1066 2/3,0.985
유강남,포수,115,968 1/3,0.992
정주현,2루수,124,972,0.975
오재일,1루수,119,1044,0.996
이창진,중견수,110,963 1/3,0.986
박경수,2루수,121,983 2/3,0.984
장성우,포수,107,911 2/3,0.993
김재환,좌익수,124,1010,1.000
이천웅,중견수,121,1039 2/3,0.996
심우준,유격수,113,976 1/3,0.982
김강민,중견수,100,947 1/3,0.989
박건우,우익수,113,947 1/3,0.987
정수빈,중견수,114,1012 2/3,0.990
김상수,2루수,117,993,0.983
송광민,3루수,115,974,0.949
오선진,유격수,113,954 2/3,0.975
신본기,유격수,108,906 2/3,0.967
임병욱,중견수,101,904 2/3,0.985
