player, avg, h, hr, RBI
양의지,0.354,138,20,68
페르난데스,0.344,197,15,88
박민우,0.344,161,1,45
이정후,0.336,193,6,68
강백호,0.336,147,13,65
고종욱,0.323,159,3,56
로하스,0.322,168,24,104
박건우,0.319,146,10,64
유한준,0.317,159,14,86
채은성,0.315,148,12,72
이천웅,0.308,168,2,48
김하성,0.307,166,19,104
김태균,0.305,132,6,62
샌즈,0.305,160,28,113
김현수,0.304,160,11,82
전준우,0.301,164,22,83
서건창,0.300,128,2,41
최형우,0.300,137,17,86
김헌곤,0.297,122,5,46
손아섭,0.295,151,10,63
이명기,0.293,142,2,36
오재일,0.293,137,21,102
러프,0.292,138,22,101
최정,0.292,147,29,99
김선빈,0.292,115,3,40
최재훈,0.290,108,3,31
허경민,0.288,137,4,60
이형종,0.286,120,13,63
이대호,0.285,138,16,88
호잉,0.284,135,18,73
