player, era, wpct, ip, whip
양현종,2.29,0.667,184 2/3,1.07
린드블럼,2.50,0.870,194 2/3,1.00
김광현,2.51,0.739,190 1/3,1.24
켈리,2.55,0.538,180 1/3,1.14
산체스,2.62,0.773,165,1.17
윌슨,2.92,0.667,185,1.16
브리검,2.96,0.722,158 1/3,1.23
루친스키,3.05,0.500,177 1/3,1.18
요키시,3.13,0.591,181 1/3,1.13
유희관,3.25,0.579,166 1/3,1.28
최원태,3.38,0.688,157 1/3,1.28
채드벨,3.50,0.524,177 1/3,1.31
서폴드,3.51,0.522,192 1/3,1.27
쿠에바스,3.62,0.565,184,1.17
이영하,3.64,0.810,163 1/3,1.28
문승원,3.88,0.611,144,1.13
박종훈,3.88,0.421,144,1.50
레일리,3.88,0.263,181,1.41
알칸타라,4.01,0.500,172 2/3,1.25
이용찬,4.07,0.412,148 1/3,1.44
차우찬,4.12,0.619,168 1/3,1.43
백정현,4.24,0.444,157,1.36
다익손,4.34,0.375,149 1/3,1.37
윌랜드,4.75,0.444,165,1.52
윤성환,4.77,0.381,145 1/3,1.50
김민,4.96,0.333,150 2/3,1.59
터너,5.46,0.350,153 1/3,1.55
