player, rg, sba, sb, sbp
박찬호,133,45,39,86.7
김하성,139,37,33,89.2
고종욱,137,41,31,75.6
노수광,117,37,27,73.0
오지환,134,32,27,84.4
정수빈,123,34,26,76.5
박해민,144,31,24,77.4
심우준,138,27,24,88.9
호잉,124,29,22,75.9
김민혁,127,32,22,68.8
김상수,129,24,21,87.5
이천웅,138,31,21,67.7
김혜성,122,23,20,87.0
오태곤,123,21,19,90.5
류지혁,118,23,18,78.3
박민우,125,25,18,72.0
서건창,113,20,17,85.0
김강민,127,23,15,65.2
이학주,118,20,15,75.0
정주현,129,21,15,71.4
정은원,142,21,14,66.7
이명기,139,18,14,77.8
김재현,83,19,13,68.4
장진혁,113,18,13,72.2
이정후,140,20,13,65.0
민병헌,101,19,13,68.4
손아섭,134,21,13,61.9
박건우,127,15,12,80.0
김태진,123,16,12,75.0
허경민,133,16,11,68.8
